category,page_number,from_station,to_station,coach,berth_no,berth_type,cabin,cabin_no
SECOND AC (2A),1,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),1,ANAND VIHAR TRM (ANVT),MORADABAD (MB),A1,33,Lower Berth,,6
SECOND AC (2A),1,ANAND VIHAR TRM (ANVT),MORADABAD (MB),A1,36,Side Upper Berth,,6
SECOND AC (2A),1,ANAND VIHAR TRM (ANVT),MORADABAD (MB),A1,39,Lower Berth,,7
SECOND AC (2A),1,ANAND VIHAR TRM (ANVT),GHAZIABAD (GZB),A1,21,Lower Berth,,4
SECOND AC (2A),1,ANAND VIHAR TRM (ANVT),GHAZIABAD (GZB),A1,22,Upper Berth,,4
SECOND AC (2A),1,ANAND VIHAR TRM (ANVT),MORADABAD (MB),A1,43,Lower Berth,,8
SECOND AC (2A),1,ANAND VIHAR TRM (ANVT),MORADABAD (MB),A1,44,Upper Berth,,8
SECOND AC (2A),1,ANAND VIHAR TRM (ANVT),MORADABAD (MB),A1,47,Side Lower Berth,,8
SECOND AC (2A),1,ANAND VIHAR TRM (ANVT),MORADABAD (MB),A1,34,Upper Berth,,6
SECOND AC (2A),1,ANAND VIHAR TRM (ANVT),GHAZIABAD (GZB),A1,15,Lower Berth,,3
SECOND AC (2A),2,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),2,ANAND VIHAR TRM (ANVT),GHAZIABAD (GZB),A1,20,Upper Berth,,4
SECOND AC (2A),2,ANAND VIHAR TRM (ANVT),MORADABAD (MB),A1,42,Side Upper Berth,,7
SECOND AC (2A),2,ANAND VIHAR TRM (ANVT),MORADABAD (MB),A1,45,Lower Berth,,8
SECOND AC (2A),2,ANAND VIHAR TRM (ANVT),MORADABAD (MB),A1,46,Upper Berth,,8
SECOND AC (2A),2,ANAND VIHAR TRM (ANVT),BAREILLY (BE),A2,13,Lower Berth,,3
SECOND AC (2A),2,ANAND VIHAR TRM (ANVT),MORADABAD (MB),A1,35,Side Lower Berth,,6
SECOND AC (2A),2,ANAND VIHAR TRM (ANVT),MORADABAD (MB),A1,40,Upper Berth,,7
SECOND AC (2A),2,ANAND VIHAR TRM (ANVT),MORADABAD (MB),A1,48,Side Upper Berth,,8
SECOND AC (2A),2,ANAND VIHAR TRM (ANVT),MORADABAD (MB),A2,10,Upper Berth,,2
SECOND AC (2A),2,ANAND VIHAR TRM (ANVT),GHAZIABAD (GZB),A2,46,Upper Berth,,8
SECOND AC (2A),3,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),3,ANAND VIHAR TRM (ANVT),MORADABAD (MB),A2,45,Lower Berth,,8
SECOND AC (2A),3,ANAND VIHAR TRM (ANVT),GHAZIABAD (GZB),A2,24,Side Upper Berth,,4
SECOND AC (2A),3,ANAND VIHAR TRM (ANVT),HAPUR (HPU),A2,42,Side Upper Berth,,7
SECOND AC (2A),3,ANAND VIHAR TRM (ANVT),HAPUR (HPU),A2,41,Side Lower Berth,,7
SECOND AC (2A),3,ANAND VIHAR TRM (ANVT),HAPUR (HPU),A2,37,Lower Berth,,7
