category,page_number,from_station,to_station,coach,berth_no,berth_type,cabin,cabin_no
SECOND AC (2A),1,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),1,BATHINDA JN (BTI),KHURJA JN (KRJ),A1,11,Side Lower Berth,,2
SECOND AC (2A),1,BATHINDA JN (BTI),SONIPAT (SNP),A1,7,Lower Berth,,2
SECOND AC (2A),1,BATHINDA JN (BTI),DELHI (DLI),A1,6,Side Upper Berth,,1
SECOND AC (2A),1,BATHINDA JN (BTI),DELHI (DLI),A1,2,Upper Berth,,1
SECOND AC (2A),1,BATHINDA JN (BTI),DELHI (DLI),A1,20,Upper Berth,,4
SECOND AC (2A),1,BATHINDA JN (BTI),DELHI (DLI),A1,38,Upper Berth,,7
SECOND AC (2A),1,BATHINDA JN (BTI),DELHI (DLI),A1,36,Side Upper Berth,,6
SECOND AC (2A),1,BATHINDA JN (BTI),DELHI (DLI),A1,34,Upper Berth,,6
SECOND AC (2A),1,JIND JN (JIND),DELHI (DLI),A1,29,Side Lower Berth,,5
SECOND AC (2A),1,NARELA (NUR),DELHI (DLI),A1,28,Upper Berth,,5
SECOND AC (2A),2,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),2,BATHINDA JN (BTI),DELHI (DLI),A1,8,Upper Berth,,2
SECOND AC (2A),2,BATHINDA JN (BTI),DELHI (DLI),A1,24,Side Upper Berth,,4
SECOND AC (2A),2,BATHINDA JN (BTI),KHURJA JN (KRJ),A1,23,Side Lower Berth,,4
SECOND AC (2A),2,BATHINDA JN (BTI),DELHI (DLI),A1,21,Lower Berth,,4
SECOND AC (2A),2,BATHINDA JN (BTI),DELHI (DLI),A1,40,Upper Berth,,7
SECOND AC (2A),2,BATHINDA JN (BTI),JIND JN (JIND),A2,19,Lower Berth,,4
SECOND AC (2A),2,BATHINDA JN (BTI),DELHI (DLI),A2,1,Lower Berth,,1
SECOND AC (2A),2,BATHINDA JN (BTI),GHAZIABAD (GZB),A1,15,Lower Berth,,3
SECOND AC (2A),2,BATHINDA JN (BTI),GHAZIABAD (GZB),A1,13,Lower Berth,,3
SECOND AC (2A),2,BATHINDA JN (BTI),DELHI (DLI),A1,12,Side Upper Berth,,2
SECOND AC (2A),3,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),3,BATHINDA JN (BTI),DELHI (DLI),A1,31,Lower Berth,,6
SECOND AC (2A),3,BATHINDA JN (BTI),DELHI (DLI),A1,10,Upper Berth,,2
SECOND AC (2A),3,BATHINDA JN (BTI),BUDHLADA (BLZ),A1,29,Side Lower Berth,,5
SECOND AC (2A),3,BATHINDA JN (BTI),DELHI (DLI),A1,47,Side Lower Berth,,8
SECOND AC (2A),3,BATHINDA JN (BTI),DELHI (DLI),A1,26,Upper Berth,,5
SECOND AC (2A),3,BATHINDA JN (BTI),DELHI (DLI),A1,25,Lower Berth,,5
SECOND AC (2A),3,BATHINDA JN (BTI),DELHI (DLI),A1,44,Upper Berth,,8
SECOND AC (2A),3,BATHINDA JN (BTI),DELHI (DLI),A1,43,Lower Berth,,8
SECOND AC (2A),3,BATHINDA JN (BTI),DELHI (DLI),A1,22,Upper Berth,,4
SECOND AC (2A),3,BATHINDA JN (BTI),DELHI (DLI),A1,41,Side Lower Berth,,7
SECOND AC (2A),4,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),4,BATHINDA JN (BTI),DELHI (DLI),A1,19,Lower Berth,,4
SECOND AC (2A),4,BATHINDA JN (BTI),KHURJA JN (KRJ),A1,17,Side Lower Berth,,3
SECOND AC (2A),4,BATHINDA JN (BTI),JIND JN (JIND),A2,21,Lower Berth,,4
SECOND AC (2A),4,BATHINDA JN (BTI),DELHI (DLI),A2,2,Upper Berth,,1
SECOND AC (2A),4,BATHINDA JN (BTI),DELHI (DLI),A1,33,Lower Berth,,6
SECOND AC (2A),4,BATHINDA JN (BTI),DELHI (DLI),A1,32,Upper Berth,,6
SECOND AC (2A),4,BATHINDA JN (BTI),DELHI (DLI),A1,30,Side Upper Berth,,5
SECOND AC (2A),4,NARELA (NUR),DELHI (DLI),A1,27,Lower Berth,,5
SECOND AC (2A),4,BATHINDA JN (BTI),DELHI (DLI),A1,46,Upper Berth,,8
SECOND AC (2A),4,BATHINDA JN (BTI),JAKHAL JN (JHL),A2,13,Lower Berth,,3
SECOND AC (2A),5,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),5,BATHINDA JN (BTI),DELHI (DLI),A1,42,Side Upper Berth,,7
SECOND AC (2A),5,BATHINDA JN (BTI),DELHI (DLI),A1,39,Lower Berth,,7
SECOND AC (2A),5,BATHINDA JN (BTI),DELHI (DLI),A2,39,Lower Berth,,7
SECOND AC (2A),5,BATHINDA JN (BTI),DELHI (DLI),A1,37,Lower Berth,,7
SECOND AC (2A),5,BATHINDA JN (BTI),NARWANA JN (NRW),A2,22,Upper Berth,,4
SECOND AC (2A),5,BATHINDA JN (BTI),DELHI (DLI),A2,3,Lower Berth,,1
SECOND AC (2A),5,BATHINDA JN (BTI),DELHI (DLI),A1,52,Side Upper Berth,,9
SECOND AC (2A),5,BATHINDA JN (BTI),DELHI (DLI),A1,51,Side Lower Berth,,9
SECOND AC (2A),5,BATHINDA JN (BTI),DELHI (DLI),A2,14,Upper Berth,,3
SECOND AC (2A),5,BATHINDA JN (BTI),DELHI (DLI),A2,16,Upper Berth,,3
SECOND AC (2A),6,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),6,BATHINDA JN (BTI),DELHI (DLI),A2,41,Side Lower Berth,,7
SECOND AC (2A),6,BATHINDA JN (BTI),DELHI (DLI),A2,23,Side Lower Berth,,4
SECOND AC (2A),6,BATHINDA JN (BTI),DELHI (DLI),A2,5,Side Lower Berth,,1
SECOND AC (2A),6,BATHINDA JN (BTI),DELHI (DLI),A2,8,Upper Berth,,2
SECOND AC (2A),6,BATHINDA JN (BTI),DELHI (DLI),A1,48,Side Upper Berth,,8
SECOND AC (2A),6,BATHINDA JN (BTI),DELHI (DLI),A2,10,Upper Berth,,2
SECOND AC (2A),6,BATHINDA JN (BTI),DELHI (DLI),A2,33,Lower Berth,,6
SECOND AC (2A),6,BATHINDA JN (BTI),DELHI (DLI),A2,15,Lower Berth,,3
SECOND AC (2A),6,BATHINDA JN (BTI),DELHI (DLI),A2,37,Lower Berth,,7
SECOND AC (2A),6,BATHINDA JN (BTI),JIND JN (JIND),A2,20,Upper Berth,,4
SECOND AC (2A),7,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),7,BATHINDA JN (BTI),DELHI (DLI),A2,42,Side Upper Berth,,7
SECOND AC (2A),7,BATHINDA JN (BTI),DELHI (DLI),A2,4,Upper Berth,,1
SECOND AC (2A),7,BATHINDA JN (BTI),SONIPAT (SNP),A2,30,Side Upper Berth,,5
SECOND AC (2A),7,BATHINDA JN (BTI),DELHI (DLI),A2,31,Lower Berth,,6
SECOND AC (2A),7,BATHINDA JN (BTI),DELHI (DLI),A2,12,Side Upper Berth,,2
SECOND AC (2A),7,BATHINDA JN (BTI),DELHI (DLI),A2,34,Upper Berth,,6
SECOND AC (2A),7,BATHINDA JN (BTI),JAKHAL JN (JHL),A2,36,Side Upper Berth,,6
SECOND AC (2A),7,BATHINDA JN (BTI),DELHI (DLI),A2,18,Side Upper Berth,,3
SECOND AC (2A),7,BATHINDA JN (BTI),JAKHAL JN (JHL),A2,43,Lower Berth,,8
SECOND AC (2A),7,BATHINDA JN (BTI),DELHI (DLI),A2,6,Side Upper Berth,,1
SECOND AC (2A),8,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),8,BATHINDA JN (BTI),MANSA (MSZ),A2,7,Lower Berth,,2
SECOND AC (2A),8,BATHINDA JN (BTI),DELHI (DLI),A2,32,Upper Berth,,6
SECOND AC (2A),8,BATHINDA JN (BTI),JAKHAL JN (JHL),A2,35,Side Lower Berth,,6
SECOND AC (2A),8,BATHINDA JN (BTI),DELHI (DLI),A2,40,Upper Berth,,7
SECOND AC (2A),8,BATHINDA JN (BTI),DELHI (DLI),A2,24,Side Upper Berth,,4
SECOND AC (2A),8,BATHINDA JN (BTI),JAKHAL JN (JHL),A2,45,Lower Berth,,8
SECOND AC (2A),8,BATHINDA JN (BTI),JAKHAL JN (JHL),A2,48,Side Upper Berth,,8
SECOND AC (2A),8,BATHINDA JN (BTI),TOHANA (TUN),A2,29,Side Lower Berth,,5
SECOND AC (2A),8,BATHINDA JN (BTI),DELHI (DLI),A2,50,Upper Berth,,9
SECOND AC (2A),8,BATHINDA JN (BTI),DELHI (DLI),A2,51,Side Lower Berth,,9
SECOND AC (2A),9,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),9,BATHINDA JN (BTI),DELHI (DLI),A2,38,Upper Berth,,7
SECOND AC (2A),9,BATHINDA JN (BTI),DELHI (DLI),A2,52,Side Upper Berth,,9
SECOND AC (2A),9,BATHINDA JN (BTI),JAKHAL JN (JHL),A2,44,Upper Berth,,8
SECOND AC (2A),9,BATHINDA JN (BTI),JAKHAL JN (JHL),A2,47,Side Lower Berth,,8
SECOND AC (2A),9,BATHINDA JN (BTI),DELHI (DLI),A2,49,Lower Berth,,9
SECOND AC (2A),9,BATHINDA JN (BTI),JAKHAL JN (JHL),A2,46,Upper Berth,,8
SECOND AC (2A),9,PATNA SAHEB (PNC),BALURGHAT (BLGT),A2,44,Upper Berth,,8
SECOND AC (2A),9,PATNA SAHEB (PNC),BALURGHAT (BLGT),A2,47,Side Lower Berth,,8
SECOND AC (2A),9,PATNA SAHEB (PNC),BALURGHAT (BLGT),A2,45,Lower Berth,,8
SECOND AC (2A),9,KANCHAUSI (KNS),LUCKNOW NR (LKO),A2,25,Lower Berth,,5
SECOND AC (2A),10,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),10,GANGARAMPUR (GRMP),BALURGHAT (BLGT),A2,42,Side Upper Berth,,7
SECOND AC (2A),10,MALDA TOWN (MLDT),BALURGHAT (BLGT),A2,50,Upper Berth,,9
SECOND AC (2A),10,KANCHAUSI (KNS),LUCKNOW NR (LKO),A2,26,Upper Berth,,5
SECOND AC (2A),10,MALDA TOWN (MLDT),BALURGHAT (BLGT),A2,24,Side Upper Berth,,4
SECOND AC (2A),10,PATNA SAHEB (PNC),BALURGHAT (BLGT),A2,36,Side Upper Berth,,6
SECOND AC (2A),10,MALDA TOWN (MLDT),BALURGHAT (BLGT),A2,52,Side Upper Berth,,9
SECOND AC (2A),10,MALDA TOWN (MLDT),BALURGHAT (BLGT),A2,49,Lower Berth,,9
SECOND AC (2A),10,PATNA SAHEB (PNC),BALURGHAT (BLGT),A2,48,Side Upper Berth,,8
SECOND AC (2A),10,ETAWAH JN (ETW),LUCKNOW NR (LKO),A2,28,Upper Berth,,5
SECOND AC (2A),10,PATNA SAHEB (PNC),BALURGHAT (BLGT),A2,46,Upper Berth,,8
SECOND AC (2A),11,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),11,PATNA SAHEB (PNC),BALURGHAT (BLGT),A2,43,Lower Berth,,8
SECOND AC (2A),11,TUNDLA JN (TDL),LUCKNOW NR (LKO),A2,22,Upper Berth,,4
SECOND AC (2A),11,BUNIADPUR (BNDP),BALURGHAT (BLGT),A2,38,Upper Berth,,7
SECOND AC (2A),11,MALDA TOWN (MLDT),BALURGHAT (BLGT),A2,33,Lower Berth,,6
SECOND AC (2A),11,MALDA TOWN (MLDT),BALURGHAT (BLGT),A2,51,Side Lower Berth,,9
SECOND AC (2A),11,SULTANPUR (SLN),VARANASI JN (BSB),A2,7,Lower Berth,,2
SECOND AC (2A),11,ETAWAH JN (ETW),LUCKNOW NR (LKO),A2,27,Lower Berth,,5
SECOND AC (2A),11,GANGARAMPUR (GRMP),BALURGHAT (BLGT),A2,5,Side Lower Berth,,1
SECOND AC (2A),11,JAMALPUR JN (JMP),BALURGHAT (BLGT),A2,4,Upper Berth,,1
SECOND AC (2A),11,BUNIADPUR (BNDP),BALURGHAT (BLGT),A2,23,Side Lower Berth,,4
SECOND AC (2A),12,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),12,MALDA TOWN (MLDT),BALURGHAT (BLGT),A2,41,Side Lower Berth,,7
SECOND AC (2A),12,JAMALPUR JN (JMP),BALURGHAT (BLGT),A2,17,Side Lower Berth,,3
SECOND AC (2A),12,MALDA TOWN (MLDT),BALURGHAT (BLGT),A2,34,Upper Berth,,6
SECOND AC (2A),12,MALDA TOWN (MLDT),BALURGHAT (BLGT),A2,32,Upper Berth,,6
SECOND AC (2A),12,JAMALPUR JN (JMP),BALURGHAT (BLGT),A2,11,Side Lower Berth,,2
SECOND AC (2A),12,KANPUR CENTRAL (CNB),LUCKNOW NR (LKO),A2,29,Side Lower Berth,,5
SECOND AC (2A),12,KANPUR CENTRAL (CNB),VARANASI JN (BSB),A1,49,Lower Berth,,9
SECOND AC (2A),12,MALDA TOWN (MLDT),BALURGHAT (BLGT),A2,3,Lower Berth,,1
SECOND AC (2A),12,GANGARAMPUR (GRMP),BALURGHAT (BLGT),A2,2,Upper Berth,,1
SECOND AC (2A),12,BUNIADPUR (BNDP),BALURGHAT (BLGT),A2,40,Upper Berth,,7
SECOND AC (2A),13,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),13,JAMALPUR JN (JMP),BALURGHAT (BLGT),A2,18,Side Upper Berth,,3
SECOND AC (2A),13,MALDA TOWN (MLDT),BALURGHAT (BLGT),A2,16,Upper Berth,,3
SECOND AC (2A),13,PATNA SAHEB (PNC),BALURGHAT (BLGT),A2,35,Side Lower Berth,,6
SECOND AC (2A),13,PATNA SAHEB (PNC),BAKHTIYARPUR JN (BKP),A2,13,Lower Berth,,3
SECOND AC (2A),13,NEW FARAKKA JN (NFK),BALURGHAT (BLGT),A2,31,Lower Berth,,6
SECOND AC (2A),13,MALDA TOWN (MLDT),BALURGHAT (BLGT),A2,10,Upper Berth,,2
SECOND AC (2A),13,JAMALPUR JN (JMP),BALURGHAT (BLGT),A2,7,Lower Berth,,2
SECOND AC (2A),13,KANCHAUSI (KNS),VARANASI JN (BSB),A2,9,Lower Berth,,2
SECOND AC (2A),13,MUSAFIR KHANA (MFKA),VARANASI JN (BSB),A1,46,Upper Berth,,8
SECOND AC (2A),13,JAMALPUR JN (JMP),BALURGHAT (BLGT),A2,6,Side Upper Berth,,1
SECOND AC (2A),14,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),14,MUSAFIR KHANA (MFKA),VARANASI JN (BSB),A1,48,Side Upper Berth,,8
SECOND AC (2A),14,NEW FARAKKA JN (NFK),BALURGHAT (BLGT),A1,51,Side Lower Berth,,9
SECOND AC (2A),14,BUNIADPUR (BNDP),BALURGHAT (BLGT),A2,39,Lower Berth,,7
SECOND AC (2A),14,MALDA TOWN (MLDT),BALURGHAT (BLGT),A2,15,Lower Berth,,3
SECOND AC (2A),14,MALDA TOWN (MLDT),BALURGHAT (BLGT),A2,14,Upper Berth,,3
SECOND AC (2A),14,GANGARAMPUR (GRMP),BALURGHAT (BLGT),A2,12,Side Upper Berth,,2
