category,page_number,from_station,to_station,coach,berth_no,berth_type,cabin,cabin_no
AC 3 ECONOMY (3E),1,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
AC 3 ECONOMY (3E),1,NEW DELHI (NDLS),GOVINDPURI (GOY),M14,4,Lower Berth,,1
AC 3 ECONOMY (3E),1,NEW DELHI (NDLS),GOVINDPURI (GOY),M3,58,Middle Berth,,8
AC 3 ECONOMY (3E),1,NEW DELHI (NDLS),GOVINDPURI (GOY),M3,45,Middle Berth,,6
AC 3 ECONOMY (3E),1,NEW DELHI (NDLS),GOVINDPURI (GOY),M3,59,Upper Berth,,8
AC 3 ECONOMY (3E),1,NEW DELHI (NDLS),GOVINDPURI (GOY),M3,64,Side Upper Berth,,8
AC 3 ECONOMY (3E),1,NEW DELHI (NDLS),GOVINDPURI (GOY),M7,1,Lower Berth,,1
AC 3 ECONOMY (3E),1,BUXAR (BXR),PATNA JN (PNBE),M6,3,Upper Berth,,1
AC 3 ECONOMY (3E),1,BUXAR (BXR),PATNA JN (PNBE),M9,74,Middle Berth,,10
AC 3 ECONOMY (3E),1,DANAPUR (DNR),PATNA JN (PNBE),M7,31,Side Lower Berth,,4
AC 3 ECONOMY (3E),1,DANAPUR (DNR),PATNA JN (PNBE),M4,79,Side Lower Berth,,10
AC 3 ECONOMY (3E),2,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
AC 3 ECONOMY (3E),2,ARA JN (ARA),PATNA JN (PNBE),M8,52,Lower Berth,,7
AC 3 ECONOMY (3E),2,ARA JN (ARA),PATNA JN (PNBE),M8,1,Lower Berth,,1
AC 3 ECONOMY (3E),2,ARA JN (ARA),PATNA JN (PNBE),M9,80,Side Upper Berth,,10
AC 3 ECONOMY (3E),2,ARA JN (ARA),PATNA JN (PNBE),M7,11,Upper Berth,,2
AC 3 ECONOMY (3E),2,ARA JN (ARA),PATNA JN (PNBE),M3,30,Upper Berth,,4
AC 3 ECONOMY (3E),2,ARA JN (ARA),PATNA JN (PNBE),M7,13,Middle Berth,,2
