category,page_number,from_station,to_station,coach,berth_no,berth_type,cabin,cabin_no
THIRD AC (3A),1,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
THIRD AC (3A),1,ANAND VIHAR TRM (ANVT),ALIGARH JN (ALJN),G10,48,Side Upper Berth,,6
THIRD AC (3A),1,ANAND VIHAR TRM (ANVT),ALIGARH JN (ALJN),G10,46,Upper Berth,,6
THIRD AC (3A),1,ANAND VIHAR TRM (ANVT),KANPUR CENTRAL (CNB),G11,4,Lower Berth,,1
THIRD AC (3A),1,ANAND VIHAR TRM (ANVT),ALIGARH JN (ALJN),G12,53,Middle Berth,,7
THIRD AC (3A),1,ANAND VIHAR TRM (ANVT),ALIGARH JN (ALJN),G14,27,Upper Berth,,4
THIRD AC (3A),1,ANAND VIHAR TRM (ANVT),ALIGARH JN (ALJN),G14,54,Upper Berth,,7
THIRD AC (3A),1,ANAND VIHAR TRM (ANVT),ALIGARH JN (ALJN),G14,30,Upper Berth,,4
THIRD AC (3A),1,ANAND VIHAR TRM (ANVT),ALIGARH JN (ALJN),G14,50,Middle Berth,,7
THIRD AC (3A),1,ANAND VIHAR TRM (ANVT),ALIGARH JN (ALJN),G15,57,Lower Berth,,8
THIRD AC (3A),1,ANAND VIHAR TRM (ANVT),ALIGARH JN (ALJN),G15,58,Middle Berth,,8
THIRD AC (3A),2,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
THIRD AC (3A),2,ANAND VIHAR TRM (ANVT),ALIGARH JN (ALJN),G14,53,Middle Berth,,7
THIRD AC (3A),2,ANAND VIHAR TRM (ANVT),ALIGARH JN (ALJN),G14,56,Side Upper Berth,,7
THIRD AC (3A),2,ANAND VIHAR TRM (ANVT),ALIGARH JN (ALJN),G15,60,Lower Berth,,8
THIRD AC (3A),2,ANAND VIHAR TRM (ANVT),ALIGARH JN (ALJN),G15,59,Upper Berth,,8
THIRD AC (3A),2,ANAND VIHAR TRM (ANVT),ALIGARH JN (ALJN),G19,27,Upper Berth,,4
THIRD AC (3A),2,ANAND VIHAR TRM (ANVT),ALIGARH JN (ALJN),G18,64,Side Upper Berth,,8
THIRD AC (3A),2,ANAND VIHAR TRM (ANVT),ALIGARH JN (ALJN),G19,28,Lower Berth,,4
THIRD AC (3A),2,ANAND VIHAR TRM (ANVT),ALIGARH JN (ALJN),G19,26,Middle Berth,,4
THIRD AC (3A),2,ANAND VIHAR TRM (ANVT),ALIGARH JN (ALJN),G4,6,Upper Berth,,1
THIRD AC (3A),2,ANAND VIHAR TRM (ANVT),KANPUR CENTRAL (CNB),G5,37,Middle Berth,,5
THIRD AC (3A),3,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
THIRD AC (3A),3,ANAND VIHAR TRM (ANVT),KANPUR CENTRAL (CNB),G5,16,Side Upper Berth,,2
THIRD AC (3A),3,ANAND VIHAR TRM (ANVT),KANPUR CENTRAL (CNB),G5,57,Lower Berth,,8
THIRD AC (3A),3,ANAND VIHAR TRM (ANVT),ALIGARH JN (ALJN),G3,53,Middle Berth,,7
