category,page_number,from_station,to_station,coach,berth_no,berth_type,cabin,cabin_no
FIRST AC (1A),1,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
FIRST AC (1A),1,NEW DELHI (NDLS),DD UPADHYAYA JN (DDU),H1,4,Upper Berth,CABIN,A
FIRST AC (1A),1,NEW DELHI (NDLS),PRAYAGRAJ JN. (PRYJ),H1,7,Lower Berth,CABIN,C
FIRST AC (1A),1,NEW TINSUKIA JN (NTSK),DBRT,H1,24,Upper Berth,CABIN,H
FIRST AC (1A),1,KATIHAR JN (KIR),GUWAHATI (GHY),H1,23,Lower Berth,CABIN,H
FIRST AC (1A),1,DIMAPUR (DMV),DBRT,H1,23,Lower Berth,CABIN,H
FIRST AC (1A),1,NEW JALPAIGURI (NJP),GUWAHATI (GHY),H1,22,Upper Berth,CABIN,H
FIRST AC (1A),1,DIBRUGARH (DBRG),DBRT,H1,18,Upper Berth,CABIN,F
FIRST AC (1A),1,DIMAPUR (DMV),DBRT,H1,14,Upper Berth,COUPE,E
FIRST AC (1A),1,KISHANGANJ (KNE),DBRT,H1,9,Lower Berth,CABIN,C
FIRST AC (1A),1,KATIHAR JN (KIR),DBRT,H1,6,Upper Berth,COUPE,B
FIRST AC (1A),2,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
FIRST AC (1A),2,KATIHAR JN (KIR),GUWAHATI (GHY),H1,5,Lower Berth,COUPE,B
FIRST AC (1A),2,DANAPUR (DNR),PATLIPUTRA (PPTA),H1,3,Lower Berth,CABIN,A
FIRST AC (1A),2,PATLIPUTRA (PPTA),BARAUNI JN (BJU),H1,2,Upper Berth,CABIN,A
FIRST AC (1A),2,NEW TINSUKIA JN (NTSK),DBRT,H1,17,Lower Berth,CABIN,F
FIRST AC (1A),2,DIMAPUR (DMV),DBRT,H1,11,Lower Berth,COUPE,D
FIRST AC (1A),2,DIMAPUR (DMV),DBRT,H1,13,Lower Berth,COUPE,E
FIRST AC (1A),2,NAUGACHIA (NNA),GUWAHATI (GHY),H1,12,Upper Berth,COUPE,D
FIRST AC (1A),2,NAUGACHIA (NNA),NEW JALPAIGURI (NJP),H1,11,Lower Berth,COUPE,D
FIRST AC (1A),2,KISHANGANJ (KNE),DBRT,H1,10,Upper Berth,CABIN,C
FIRST AC (1A),2,DIMAPUR (DMV),DBRT,H1,7,Lower Berth,CABIN,C
