category,page_number,from_station,to_station,coach,berth_no,berth_type,cabin,cabin_no
FIRST AC (1A),1,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
FIRST AC (1A),1,NEW DELHI (NDLS),KANPUR CENTRAL (CNB),H1,10,Upper Berth,CABIN,C
FIRST AC (1A),1,NEW DELHI (NDLS),KANPUR CENTRAL (CNB),H1,9,Lower Berth,CABIN,C
FIRST AC (1A),1,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,21,Lower Berth,CABIN,H
FIRST AC (1A),1,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,22,Upper Berth,CABIN,H
FIRST AC (1A),1,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,23,Lower Berth,CABIN,H
FIRST AC (1A),1,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,24,Upper Berth,CABIN,H
FIRST AC (1A),1,ARA JN (ARA),RAJENDRANAGAR T (RJPB),H1,16,Upper Berth,CABIN,F
FIRST AC (1A),1,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,17,Lower Berth,CABIN,F
FIRST AC (1A),1,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,18,Upper Berth,CABIN,F
FIRST AC (1A),1,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,19,Lower Berth,COUPE,G
FIRST AC (1A),2,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
FIRST AC (1A),2,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,20,Upper Berth,COUPE,G
FIRST AC (1A),2,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,1,Lower Berth,CABIN,A
FIRST AC (1A),2,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,2,Upper Berth,CABIN,A
FIRST AC (1A),2,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,3,Lower Berth,CABIN,A
FIRST AC (1A),2,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,4,Upper Berth,CABIN,A
FIRST AC (1A),2,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,7,Lower Berth,CABIN,C
FIRST AC (1A),2,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,9,Lower Berth,CABIN,C
FIRST AC (1A),2,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,11,Lower Berth,COUPE,D
FIRST AC (1A),2,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,12,Upper Berth,COUPE,D
FIRST AC (1A),2,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,13,Lower Berth,COUPE,E
FIRST AC (1A),3,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
FIRST AC (1A),3,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,14,Upper Berth,COUPE,E
FIRST AC (1A),3,ARA JN (ARA),RAJENDRANAGAR T (RJPB),H1,15,Lower Berth,CABIN,F
SECOND AC (2A),1,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),1,NEW DELHI (NDLS),KANPUR CENTRAL (CNB),A2,47,Side Lower Berth,,8
SECOND AC (2A),1,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A2,43,Lower Berth,,8
SECOND AC (2A),1,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A2,44,Upper Berth,,8
SECOND AC (2A),1,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A2,45,Lower Berth,,8
SECOND AC (2A),1,ARA JN (ARA),RAJENDRANAGAR T (RJPB),A2,46,Upper Berth,,8
SECOND AC (2A),1,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A2,29,Side Lower Berth,,5
SECOND AC (2A),1,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A2,50,Upper Berth,,9
SECOND AC (2A),1,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A2,38,Upper Berth,,7
SECOND AC (2A),1,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A2,23,Side Lower Berth,,4
SECOND AC (2A),1,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A2,24,Side Upper Berth,,4
SECOND AC (2A),2,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
