category,page_number,from_station,to_station,coach,berth_no,berth_type,cabin,cabin_no
FIRST AC (1A),1,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
FIRST AC (1A),1,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H2,8,Upper Berth,CABIN,C
FIRST AC (1A),1,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H2,7,Lower Berth,CABIN,C
FIRST AC (1A),1,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H2,6,Upper Berth,COUPE,B
FIRST AC (1A),1,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H2,5,Lower Berth,COUPE,B
FIRST AC (1A),1,KANPUR CENTRAL (CNB),DD UPADHYAYA JN (DDU),H2,17,Lower Berth,CABIN,F
FIRST AC (1A),1,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H2,14,Upper Berth,COUPE,E
FIRST AC (1A),1,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H2,13,Lower Berth,COUPE,E
FIRST AC (1A),1,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H2,12,Upper Berth,COUPE,D
FIRST AC (1A),1,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H2,11,Lower Berth,COUPE,D
FIRST AC (1A),1,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H2,10,Upper Berth,CABIN,C
FIRST AC (1A),2,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
FIRST AC (1A),2,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H2,9,Lower Berth,CABIN,C
FIRST AC (1A),2,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,21,Lower Berth,CABIN,H
FIRST AC (1A),2,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,22,Upper Berth,CABIN,H
FIRST AC (1A),2,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,23,Lower Berth,CABIN,H
FIRST AC (1A),2,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,24,Upper Berth,CABIN,H
FIRST AC (1A),2,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H2,4,Upper Berth,CABIN,A
FIRST AC (1A),2,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H2,3,Lower Berth,CABIN,A
FIRST AC (1A),2,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H2,2,Upper Berth,CABIN,A
FIRST AC (1A),2,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H2,1,Lower Berth,CABIN,A
FIRST AC (1A),2,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H2,18,Upper Berth,CABIN,F
FIRST AC (1A),3,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
FIRST AC (1A),3,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,12,Upper Berth,COUPE,D
FIRST AC (1A),3,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,13,Lower Berth,COUPE,E
FIRST AC (1A),3,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,14,Upper Berth,COUPE,E
FIRST AC (1A),3,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,15,Lower Berth,CABIN,F
FIRST AC (1A),3,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,16,Upper Berth,CABIN,F
FIRST AC (1A),3,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,17,Lower Berth,CABIN,F
FIRST AC (1A),3,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,18,Upper Berth,CABIN,F
FIRST AC (1A),3,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,19,Lower Berth,COUPE,G
FIRST AC (1A),3,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,20,Upper Berth,COUPE,G
FIRST AC (1A),3,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,1,Lower Berth,CABIN,A
FIRST AC (1A),4,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
FIRST AC (1A),4,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,2,Upper Berth,CABIN,A
FIRST AC (1A),4,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,3,Lower Berth,CABIN,A
FIRST AC (1A),4,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,4,Upper Berth,CABIN,A
FIRST AC (1A),4,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,5,Lower Berth,COUPE,B
FIRST AC (1A),4,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,6,Upper Berth,COUPE,B
FIRST AC (1A),4,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,7,Lower Berth,CABIN,C
FIRST AC (1A),4,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,8,Upper Berth,CABIN,C
FIRST AC (1A),4,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,9,Lower Berth,CABIN,C
FIRST AC (1A),4,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,10,Upper Berth,CABIN,C
FIRST AC (1A),4,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),H1,11,Lower Berth,COUPE,D
SECOND AC (2A),1,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),1,NEW DELHI (NDLS),KANPUR CENTRAL (CNB),A4,7,Lower Berth,,2
SECOND AC (2A),1,NEW DELHI (NDLS),KANPUR CENTRAL (CNB),A5,9,Lower Berth,,2
SECOND AC (2A),1,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,37,Lower Berth,,7
SECOND AC (2A),1,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,35,Side Lower Berth,,6
SECOND AC (2A),1,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,17,Side Lower Berth,,3
SECOND AC (2A),1,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,48,Side Upper Berth,,8
SECOND AC (2A),1,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,34,Upper Berth,,6
SECOND AC (2A),1,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,15,Lower Berth,,3
SECOND AC (2A),1,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,36,Side Upper Berth,,6
SECOND AC (2A),1,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A4,42,Side Upper Berth,,7
SECOND AC (2A),2,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),2,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,38,Upper Berth,,7
SECOND AC (2A),2,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,41,Side Lower Berth,,7
SECOND AC (2A),2,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,47,Side Lower Berth,,8
SECOND AC (2A),2,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,28,Upper Berth,,5
SECOND AC (2A),2,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,49,Lower Berth,,9
SECOND AC (2A),2,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,51,Side Lower Berth,,9
SECOND AC (2A),2,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,33,Lower Berth,,6
SECOND AC (2A),2,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,14,Upper Berth,,3
SECOND AC (2A),2,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A4,44,Upper Berth,,8
SECOND AC (2A),2,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,16,Upper Berth,,3
SECOND AC (2A),3,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),3,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A4,2,Upper Berth,,1
SECOND AC (2A),3,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,18,Side Upper Berth,,3
SECOND AC (2A),3,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,39,Lower Berth,,7
SECOND AC (2A),3,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,21,Lower Berth,,4
SECOND AC (2A),3,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,43,Lower Berth,,8
SECOND AC (2A),3,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,44,Upper Berth,,8
SECOND AC (2A),3,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,45,Lower Berth,,8
SECOND AC (2A),3,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,27,Lower Berth,,5
SECOND AC (2A),3,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,29,Side Lower Berth,,5
SECOND AC (2A),3,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,31,Lower Berth,,6
SECOND AC (2A),4,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),4,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,13,Lower Berth,,3
SECOND AC (2A),4,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A4,45,Lower Berth,,8
SECOND AC (2A),4,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A4,24,Side Upper Berth,,4
SECOND AC (2A),4,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A4,43,Lower Berth,,8
SECOND AC (2A),4,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A3,39,Lower Berth,,7
SECOND AC (2A),4,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A4,41,Side Lower Berth,,7
SECOND AC (2A),4,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,19,Lower Berth,,4
SECOND AC (2A),4,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,40,Upper Berth,,7
SECOND AC (2A),4,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,1,Lower Berth,,1
SECOND AC (2A),4,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,22,Upper Berth,,4
SECOND AC (2A),5,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),5,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,23,Side Lower Berth,,4
SECOND AC (2A),5,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,24,Side Upper Berth,,4
SECOND AC (2A),5,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,25,Lower Berth,,5
SECOND AC (2A),5,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,46,Upper Berth,,8
SECOND AC (2A),5,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,7,Lower Berth,,2
SECOND AC (2A),5,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A4,51,Side Lower Berth,,9
SECOND AC (2A),5,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A4,50,Upper Berth,,9
SECOND AC (2A),5,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,50,Upper Berth,,9
SECOND AC (2A),5,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A4,48,Side Upper Berth,,8
SECOND AC (2A),5,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,52,Side Upper Berth,,9
SECOND AC (2A),6,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),6,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A4,46,Upper Berth,,8
SECOND AC (2A),6,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A4,5,Side Lower Berth,,1
SECOND AC (2A),6,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A4,4,Upper Berth,,1
SECOND AC (2A),6,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A4,3,Lower Berth,,1
SECOND AC (2A),6,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A3,19,Lower Berth,,4
SECOND AC (2A),6,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A4,21,Lower Berth,,4
SECOND AC (2A),6,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A4,40,Upper Berth,,7
SECOND AC (2A),6,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,20,Upper Berth,,4
SECOND AC (2A),6,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A4,38,Upper Berth,,7
SECOND AC (2A),6,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,2,Upper Berth,,1
SECOND AC (2A),7,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),7,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,3,Lower Berth,,1
SECOND AC (2A),7,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,4,Upper Berth,,1
SECOND AC (2A),7,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,5,Side Lower Berth,,1
SECOND AC (2A),7,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,26,Upper Berth,,5
SECOND AC (2A),7,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A4,52,Side Upper Berth,,9
SECOND AC (2A),7,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A4,11,Side Lower Berth,,2
SECOND AC (2A),7,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A4,30,Side Upper Berth,,5
SECOND AC (2A),7,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,30,Side Upper Berth,,5
SECOND AC (2A),7,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A4,28,Upper Berth,,5
SECOND AC (2A),7,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A5,32,Upper Berth,,6
SECOND AC (2A),8,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),8,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A3,42,Side Upper Berth,,7
SECOND AC (2A),8,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A3,41,Side Lower Berth,,7
SECOND AC (2A),8,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A3,40,Upper Berth,,7
SECOND AC (2A),8,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A3,18,Side Upper Berth,,3
SECOND AC (2A),8,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A4,1,Lower Berth,,1
SECOND AC (2A),8,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A4,20,Upper Berth,,4
SECOND AC (2A),8,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A4,39,Lower Berth,,7
SECOND AC (2A),8,PATNA JN (PNBE),RAJENDRANAGAR T (RJPB),A4,18,Side Upper Berth,,3
