category,page_number,from_station,to_station,coach,berth_no,berth_type,cabin,cabin_no
FIRST AC (1A),1,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
FIRST AC (1A),1,NEW DELHI (NDLS),ALIGARH JN (ALJN),HA1,1,Lower Berth,CABIN,A
FIRST AC (1A),1,NEW DELHI (NDLS),ALIGARH JN (ALJN),HA1,6,Upper Berth,COUPE,B
FIRST AC (1A),1,NEW DELHI (NDLS),PRAYAGRAJ JN. (PRYJ),HA1,8,Upper Berth,CABIN,C
FIRST AC (1A),1,NEW DELHI (NDLS),ALIGARH JN (ALJN),HA1,5,Lower Berth,COUPE,B
FIRST AC (1A),1,PATNA JN (PNBE),JASIDIH JN (JSME),HA1,2,Upper Berth,CABIN,A
FIRST AC (1A),1,PATNA JN (PNBE),JASIDIH JN (JSME),HA1,3,Lower Berth,CABIN,A
FIRST AC (1A),1,PATNA JN (PNBE),JASIDIH JN (JSME),HA1,4,Upper Berth,CABIN,A
FIRST AC (1A),1,PATNA JN (PNBE),ASANSOL JN (ASN),HA1,5,Lower Berth,COUPE,B
FIRST AC (1A),1,PATNA JN (PNBE),ASANSOL JN (ASN),HA1,6,Upper Berth,COUPE,B
FIRST AC (1A),1,CHITTARANJAN (CRJ),HOWRAH JN (HWH),HA1,10,Upper Berth,CABIN,C
SECOND AC (2A),1,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),1,NEW DELHI (NDLS),ALIGARH JN (ALJN),A1,4,Upper Berth,,1
SECOND AC (2A),1,NEW DELHI (NDLS),ALIGARH JN (ALJN),A1,50,Upper Berth,,9
SECOND AC (2A),1,NEW DELHI (NDLS),ALIGARH JN (ALJN),A1,34,Upper Berth,,6
SECOND AC (2A),1,NEW DELHI (NDLS),ALIGARH JN (ALJN),A1,43,Lower Berth,,8
SECOND AC (2A),1,NEW DELHI (NDLS),TUNDLA JN (TDL),A2,43,Lower Berth,,8
SECOND AC (2A),1,ETAWAH JN (ETW),KANPUR CENTRAL (CNB),A1,47,Side Lower Berth,,8
SECOND AC (2A),1,NEW DELHI (NDLS),ALIGARH JN (ALJN),A1,33,Lower Berth,,6
SECOND AC (2A),1,NEW DELHI (NDLS),TUNDLA JN (TDL),A2,15,Lower Berth,,3
