category,page_number,from_station,to_station,coach,berth_no,berth_type,cabin,cabin_no
FIRST AC (1A),1,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
FIRST AC (1A),1,JASIDIH JN (JSME),HOWRAH JN (HWH),H1,7,Lower Berth,CABIN,C
FIRST AC (1A),1,JASIDIH JN (JSME),HOWRAH JN (HWH),H1,8,Upper Berth,CABIN,C
SECOND AC (2A),1,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),1,NEW DELHI (NDLS),DD UPADHYAYA JN (DDU),A1,45,Lower Berth,,8
SECOND AC (2A),1,JASIDIH JN (JSME),HOWRAH JN (HWH),A1,47,Side Lower Berth,,8
SECOND AC (2A),1,JASIDIH JN (JSME),HOWRAH JN (HWH),A1,26,Upper Berth,,5
SECOND AC (2A),1,PATNA JN (PNBE),HOWRAH JN (HWH),A2,1,Lower Berth,,1
SECOND AC (2A),1,PATNA JN (PNBE),HOWRAH JN (HWH),A2,3,Lower Berth,,1
SECOND AC (2A),1,PATNA JN (PNBE),HOWRAH JN (HWH),A1,39,Lower Berth,,7
SECOND AC (2A),1,PATNA JN (PNBE),HOWRAH JN (HWH),A2,8,Upper Berth,,2
SECOND AC (2A),1,JASIDIH JN (JSME),HOWRAH JN (HWH),A1,51,Side Lower Berth,,9
SECOND AC (2A),1,JASIDIH JN (JSME),HOWRAH JN (HWH),A1,50,Upper Berth,,9
SECOND AC (2A),1,JASIDIH JN (JSME),HOWRAH JN (HWH),A1,28,Upper Berth,,5
SECOND AC (2A),2,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),2,JASIDIH JN (JSME),HOWRAH JN (HWH),A1,27,Lower Berth,,5
SECOND AC (2A),2,JASIDIH JN (JSME),HOWRAH JN (HWH),A1,6,Side Upper Berth,,1
SECOND AC (2A),2,JASIDIH JN (JSME),HOWRAH JN (HWH),A1,23,Side Lower Berth,,4
SECOND AC (2A),2,JASIDIH JN (JSME),HOWRAH JN (HWH),A1,2,Upper Berth,,1
SECOND AC (2A),2,JASIDIH JN (JSME),HOWRAH JN (HWH),A1,21,Lower Berth,,4
SECOND AC (2A),2,JASIDIH JN (JSME),HOWRAH JN (HWH),A1,20,Upper Berth,,4
SECOND AC (2A),2,JASIDIH JN (JSME),HOWRAH JN (HWH),A1,19,Lower Berth,,4
SECOND AC (2A),2,JASIDIH JN (JSME),HOWRAH JN (HWH),A1,15,Lower Berth,,3
SECOND AC (2A),2,JASIDIH JN (JSME),HOWRAH JN (HWH),A1,33,Lower Berth,,6
SECOND AC (2A),2,ASANSOL JN (ASN),HOWRAH JN (HWH),A1,32,Upper Berth,,6
SECOND AC (2A),3,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND AC (2A),3,ASANSOL JN (ASN),HOWRAH JN (HWH),A1,31,Lower Berth,,6
SECOND AC (2A),3,JASIDIH JN (JSME),HOWRAH JN (HWH),A1,30,Side Upper Berth,,5
SECOND SITTING (2S),1,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SECOND SITTING (2S),1,PATNA JN (PNBE),JASIDIH JN (JSME),DL1,30,Window Seat,,3
SECOND SITTING (2S),1,PATNA JN (PNBE),JASIDIH JN (JSME),DL1,31,Window Seat,,4
THIRD AC (3A),1,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
THIRD AC (3A),1,NEW DELHI (NDLS),KANPUR CENTRAL (CNB),B3,26,Middle Berth,,4
THIRD AC (3A),1,NEW DELHI (NDLS),KANPUR CENTRAL (CNB),B3,30,Upper Berth,,4
THIRD AC (3A),1,JASIDIH JN (JSME),HOWRAH JN (HWH),B4,15,Side Lower Berth,,2
THIRD AC (3A),1,JASIDIH JN (JSME),HOWRAH JN (HWH),B4,14,Upper Berth,,2
THIRD AC (3A),1,JASIDIH JN (JSME),HOWRAH JN (HWH),B3,69,Middle Berth,,9
THIRD AC (3A),1,JASIDIH JN (JSME),HOWRAH JN (HWH),B4,4,Lower Berth,,1
THIRD AC (3A),1,ASANSOL JN (ASN),HOWRAH JN (HWH),B4,23,Side Lower Berth,,3
THIRD AC (3A),1,JASIDIH JN (JSME),HOWRAH JN (HWH),B3,72,Side Upper Berth,,9
THIRD AC (3A),1,JASIDIH JN (JSME),ASANSOL JN (ASN),B3,71,Side Lower Berth,,9
THIRD AC (3A),1,PATNA JN (PNBE),HOWRAH JN (HWH),B3,49,Lower Berth,,7
THIRD AC (3A),2,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
THIRD AC (3A),2,JASIDIH JN (JSME),HOWRAH JN (HWH),B4,11,Upper Berth,,2
THIRD AC (3A),2,JASIDIH JN (JSME),HOWRAH JN (HWH),B4,27,Upper Berth,,4
THIRD AC (3A),2,ASANSOL JN (ASN),HOWRAH JN (HWH),B3,61,Middle Berth,,8
THIRD AC (3A),2,ASANSOL JN (ASN),HOWRAH JN (HWH),B3,60,Lower Berth,,8
THIRD AC (3A),2,JASIDIH JN (JSME),HOWRAH JN (HWH),B4,22,Upper Berth,,3
THIRD AC (3A),2,JASIDIH JN (JSME),HOWRAH JN (HWH),B4,21,Middle Berth,,3
THIRD AC (3A),2,PATNA JN (PNBE),HOWRAH JN (HWH),B3,52,Lower Berth,,7
THIRD AC (3A),2,PATNA JN (PNBE),HOWRAH JN (HWH),B3,51,Upper Berth,,7
THIRD AC (3A),2,PATNA JN (PNBE),ASANSOL JN (ASN),B3,68,Lower Berth,,9
THIRD AC (3A),2,JASIDIH JN (JSME),HOWRAH JN (HWH),B4,10,Middle Berth,,2
THIRD AC (3A),3,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
THIRD AC (3A),3,JASIDIH JN (JSME),ASANSOL JN (ASN),B3,65,Lower Berth,,9
THIRD AC (3A),3,JASIDIH JN (JSME),HOWRAH JN (HWH),B4,7,Side Lower Berth,,1
THIRD AC (3A),3,PATNA JN (PNBE),HOWRAH JN (HWH),B3,21,Middle Berth,,3
THIRD AC (3A),3,PATNA JN (PNBE),HOWRAH JN (HWH),B3,20,Lower Berth,,3
THIRD AC (3A),3,JASIDIH JN (JSME),HOWRAH JN (HWH),B4,2,Middle Berth,,1
THIRD AC (3A),3,JASIDIH JN (JSME),HOWRAH JN (HWH),B4,1,Lower Berth,,1
THIRD AC (3A),3,ASANSOL JN (ASN),HOWRAH JN (HWH),B3,57,Lower Berth,,8
THIRD AC (3A),3,PATNA JN (PNBE),HOWRAH JN (HWH),B3,54,Upper Berth,,7
THIRD AC (3A),3,PATNA JN (PNBE),HOWRAH JN (HWH),B3,53,Middle Berth,,7
THIRD AC (3A),3,ASANSOL JN (ASN),HOWRAH JN (HWH),B2,69,Middle Berth,,9
THIRD AC (3A),4,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
THIRD AC (3A),4,JASIDIH JN (JSME),HOWRAH JN (HWH),B3,11,Upper Berth,,2
THIRD AC (3A),4,JASIDIH JN (JSME),HOWRAH JN (HWH),B4,13,Middle Berth,,2
THIRD AC (3A),4,JASIDIH JN (JSME),HOWRAH JN (HWH),B3,9,Lower Berth,,2
THIRD AC (3A),4,ASANSOL JN (ASN),HOWRAH JN (HWH),B3,48,Side Upper Berth,,6
THIRD AC (3A),4,ASANSOL JN (ASN),HOWRAH JN (HWH),B3,7,Side Lower Berth,,1
THIRD AC (3A),4,ASANSOL JN (ASN),HOWRAH JN (HWH),B3,64,Side Upper Berth,,8
THIRD AC (3A),4,JASIDIH JN (JSME),HOWRAH JN (HWH),B3,3,Upper Berth,,1
THIRD AC (3A),4,JASIDIH JN (JSME),HOWRAH JN (HWH),B2,60,Lower Berth,,8
THIRD AC (3A),4,ASANSOL JN (ASN),HOWRAH JN (HWH),B2,61,Middle Berth,,8
THIRD AC (3A),4,ASANSOL JN (ASN),HOWRAH JN (HWH),B3,59,Upper Berth,,8
THIRD AC (3A),5,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
THIRD AC (3A),5,ASANSOL JN (ASN),HOWRAH JN (HWH),B3,58,Middle Berth,,8
THIRD AC (3A),5,JASIDIH JN (JSME),HOWRAH JN (HWH),B2,64,Side Upper Berth,,8
THIRD AC (3A),5,JASIDIH JN (JSME),HOWRAH JN (HWH),B4,18,Middle Berth,,3
THIRD AC (3A),5,PATNA JN (PNBE),JASIDIH JN (JSME),B3,34,Middle Berth,,5
THIRD AC (3A),5,PATNA JN (PNBE),JASIDIH JN (JSME),B3,33,Lower Berth,,5
THIRD AC (3A),5,JASIDIH JN (JSME),HOWRAH JN (HWH),B2,9,Lower Berth,,2
THIRD AC (3A),5,JASIDIH JN (JSME),HOWRAH JN (HWH),B2,70,Upper Berth,,9
THIRD AC (3A),5,PATNA JN (PNBE),HOWRAH JN (HWH),B3,70,Upper Berth,,9
THIRD AC (3A),5,JASIDIH JN (JSME),ASANSOL JN (ASN),B2,72,Side Upper Berth,,9
THIRD AC (3A),5,ASANSOL JN (ASN),HOWRAH JN (HWH),B2,53,Middle Berth,,7
THIRD AC (3A),6,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
THIRD AC (3A),6,ASANSOL JN (ASN),HOWRAH JN (HWH),B2,54,Upper Berth,,7
THIRD AC (3A),6,JASIDIH JN (JSME),ASANSOL JN (ASN),B3,66,Middle Berth,,9
THIRD AC (3A),6,JASIDIH JN (JSME),HOWRAH JN (HWH),B3,5,Middle Berth,,1
THIRD AC (3A),6,ASANSOL JN (ASN),HOWRAH JN (HWH),B2,57,Lower Berth,,8
THIRD AC (3A),6,JASIDIH JN (JSME),ASANSOL JN (ASN),B2,38,Upper Berth,,5
THIRD AC (3A),6,ASANSOL JN (ASN),HOWRAH JN (HWH),B3,62,Upper Berth,,8
THIRD AC (3A),6,JASIDIH JN (JSME),HOWRAH JN (HWH),B1,71,Side Lower Berth,,9
THIRD AC (3A),6,JASIDIH JN (JSME),HOWRAH JN (HWH),B1,70,Upper Berth,,9
THIRD AC (3A),6,ASANSOL JN (ASN),HOWRAH JN (HWH),B2,62,Upper Berth,,8
THIRD AC (3A),6,JASIDIH JN (JSME),HOWRAH JN (HWH),B2,23,Side Lower Berth,,3
THIRD AC (3A),7,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
THIRD AC (3A),7,JASIDIH JN (JSME),HOWRAH JN (HWH),B2,24,Side Upper Berth,,3
THIRD AC (3A),7,PATNA JN (PNBE),HOWRAH JN (HWH),B3,56,Side Upper Berth,,7
THIRD AC (3A),7,JASIDIH JN (JSME),ASANSOL JN (ASN),B2,66,Middle Berth,,9
THIRD AC (3A),7,ASANSOL JN (ASN),HOWRAH JN (HWH),B2,67,Upper Berth,,9
THIRD AC (3A),7,JASIDIH JN (JSME),HOWRAH JN (HWH),B3,13,Middle Berth,,2
THIRD AC (3A),7,JASIDIH JN (JSME),HOWRAH JN (HWH),B1,62,Upper Berth,,8
THIRD AC (3A),7,JASIDIH JN (JSME),HOWRAH JN (HWH),B1,61,Middle Berth,,8
THIRD AC (3A),7,PATNA JN (PNBE),HOWRAH JN (HWH),B3,50,Middle Berth,,7
THIRD AC (3A),7,JASIDIH JN (JSME),HOWRAH JN (HWH),B2,32,Side Upper Berth,,4
THIRD AC (3A),7,JASIDIH JN (JSME),HOWRAH JN (HWH),B1,38,Upper Berth,,5
THIRD AC (3A),8,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
THIRD AC (3A),8,JASIDIH JN (JSME),HOWRAH JN (HWH),B1,37,Middle Berth,,5
THIRD AC (3A),8,JASIDIH JN (JSME),HOWRAH JN (HWH),B3,6,Upper Berth,,1
THIRD AC (3A),8,ASANSOL JN (ASN),HOWRAH JN (HWH),B2,56,Side Upper Berth,,7
THIRD AC (3A),8,JASIDIH JN (JSME),HOWRAH JN (HWH),B1,34,Middle Berth,,5
AC 3 ECONOMY (3E),1,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
AC 3 ECONOMY (3E),1,JASIDIH JN (JSME),HOWRAH JN (HWH),M1,47,Side Lower Berth,,6
AC 3 ECONOMY (3E),1,PATNA JN (PNBE),HOWRAH JN (HWH),M1,52,Lower Berth,,7
AC 3 ECONOMY (3E),1,ASANSOL JN (ASN),HOWRAH JN (HWH),M1,77,Middle Berth,,10
AC 3 ECONOMY (3E),1,ASANSOL JN (ASN),HOWRAH JN (HWH),M1,78,Upper Berth,,10
AC 3 ECONOMY (3E),1,JASIDIH JN (JSME),HOWRAH JN (HWH),M1,20,Lower Berth,,3
SLEEPER CLASS (SL),1,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list,filter_list
SLEEPER CLASS (SL),1,NEW DELHI (NDLS),KANPUR CENTRAL (CNB),S1,63,Side Lower Berth,,8
SLEEPER CLASS (SL),1,NEW DELHI (NDLS),KANPUR CENTRAL (CNB),S2,73,Lower Berth,,10
SLEEPER CLASS (SL),1,NEW DELHI (NDLS),KANPUR CENTRAL (CNB),S4,50,Middle Berth,,7
